date,defs
20210630,156960
20210629,156166
20210628,155571
20210627,155070
20210626,154456
20210625,153788
20210624,153154
20210623,152544
20210622,151899
20210621,151505
20210620,151148
20210619,150719
20210618,150237
20210617,149730
20210616,149190
20210615,148645
20210614,148272
20210613,147873
20210612,147421
20210611,146856
20210610,146300
20210609,145690
20210608,145088
20210607,144634
20210606,144149
20210605,143593
20210604,142849
20210603,142154
20210602,141473
20210601,140796
20210531,140337
20210530,139907
20210529,139427
20210528,138894
20210527,138307
20210526,137678
20210525,136973
20210524,136457
20210523,135927
20210522,135342
20210521,134676
20210520,134115
20210519,133469
20210518,132815
20210517,132287
20210516,131668
20210515,131058
20210514,130377
20210513,129630
20210512,128915
20210511,128281
20210510,127771
20210509,127308
20210508,126744
20210507,126043
20210506,125518
20210505,124944
20210504,124268
20210503,123727
20210502,123239
20210501,122633
20210430,122006
20210429,121345
20210428,120666
20210427,119897
20210426,119385
20210425,118886
20210424,118242
20210423,117457
20210422,116660
20210421,115925
20210420,115194
20210419,114645
20210418,114113
20210417,113442
20210416,112784
20210415,112111
20210414,111413
20210413,110682
20210412,110140
20210411,109553
20210410,108939
20210409,108262
20210408,107591
20210407,106891
20210406,106223
20210405,105746
20210404,105273
20210403,104730
20210402,104187
20210401,103630
20210331,103079
20210330,102573
20210329,102126
20210328,101744
20210327,101262
20210326,100757
20210325,100268
20210324,99838
20210323,99410
20210322,99064
20210321,98649
20210320,98193
20210319,97746
20210318,97283
20210317,96838
20210316,96369
20210315,96006
20210314,95627
20210313,95168
20210312,94678
20210311,94190
20210310,93725
20210309,93255
20210308,92809
20210307,92463
20210306,92047
20210305,91629
20210304,91231
20210303,90807
20210302,90363
20210301,90019
20210228,89664
20210227,89309
20210226,88894
20210225,88507
20210224,88112
20210223,87672
20210222,87316
20210221,86984
20210220,86568
20210219,86120
20210218,85559
20210217,84938
20210216,84317
20210215,83860
20210214,83517
20210213,83191
20210212,82829
20210211,82426
20210210,81922
20210209,81478
20210208,81175
20210207,80887
20210206,80516
20210205,80126
20210204,79756
20210203,79305
20210202,78838
20210201,78502
20210131,78197
20210130,77843
20210129,77387
20210128,76918
20210127,76421
20210126,75862
20210125,75513
20210124,75076
20210123,74684
20210122,74253
20210121,73907
20210120,73507
20210119,73103
20210118,72717
20210117,72328
20210116,71808
20210115,71228
20210114,70716
20210113,70192
20210112,69631
20210111,69094
20210110,68643
20210109,67986
20210108,67345
20210107,66671
20210106,65802
20210105,64964
20210104,64250
20210103,63230
20210102,62573
20210101,61753
20201231,60726
20201230,59759
20201229,58709
20201228,57665
20201227,56859
20201226,55889
20201225,54758
20201224,53518
20201223,52533
20201222,51443
20201221,50577
20201220,49653
20201219,48557
20201218,47512
20201217,46448
20201216,45434
20201215,44356
20201214,43476
20201213,42758
20201212,41728
20201211,40778
20201210,40089
20201209,39409
20201208,38739
20201207,38152
20201206,37537
20201205,36906
20201204,36329
20201203,35701
20201202,35161
20201201,34650
20201130,34199
20201129,33761
20201128,33311
20201127,32808
20201126,32253
20201125,31672
20201124,31290
20201123,30941
20201122,30670
20201121,30340
20201120,29954
20201119,29606
20201118,29281
20201117,28996
20201116,28766
20201115,28544
20201114,28336
20201113,28131
20201112,27940
20201111,27797
20201110,27652
20201109,27552
20201108,27426
20201107,27283
20201106,27194
20201105,27049
20201104,26924
20201103,26807
20201102,26732
20201101,26635
20201031,26511
20201030,26384
20201029,26271
20201028,26146
